,ASSETID,SHOPID,SHOPNAME,ASSETSNAME,ASSETSTYPEID,UNITNAME,ADDRESS
119,15875,8170,安北村委,村委大院,7,间,村委
120,15433,8170,安北村委,教学楼,8,栋,学校
121,31623,8170,安北村委,水泵,10,台,村部
122,15319,8170,安北村委,电视机　,10,台,村委
123,15878,8170,安北村委,VCD、音响、功放,10,套,村委
124,15877,8170,安北村委,电脑,10,台,村委
125,16509,8170,安北村委,凳子,11,个,村委
126,14981,8170,安北村委,办公桌,11,张,村委
127,15148,8170,安北村委,柜子,11,个,村委
128,31332,8170,安北村委,体育器械,17,套,文化大院
129,30426,8170,安北村委,村内道路,541,米,村内道路
130,15879,8182,漏泉村委,平房,7,间,村部
131,15149,8182,漏泉村委,教学楼,8,栋,小学校
132,24746,8182,漏泉村委,电视机,10,台,村委
133,15242,8182,漏泉村委,计算机,10,台,学校
134,16290,8182,漏泉村委,办公桌、课桌,11,张,学校
135,15880,8182,漏泉村委,凳子,11,个,学校
136,15550,8182,漏泉村委,柜子,11,个,学校
137,23183,8182,漏泉村委,农家书屋,12,套,村委
138,15552,8182,漏泉村委,篮球架,12,付,学校
139,15126,8182,漏泉村委,乒乓球,12,台,学校
140,31333,8182,漏泉村委,体育器械,17,套,文化大院
141,23188,8182,漏泉村委,道路,18,米,村内
142,23125,8195,曹窑村委,平房、瓦房,7,间,村委
143,23127,8195,曹窑村委,砖窑,9,孔,原大队部
144,23135,8195,曹窑村委,电视机,10,套,村委
145,23138,8195,曹窑村委,电脑,10,台,村委
146,23133,8195,曹窑村委,凳子,11,套,村委
147,23129,8195,曹窑村委,办公桌,11,套,村委
148,23130,8195,曹窑村委,会议卓,11,套,村委
149,23142,8195,曹窑村委,柜子,11,套,村委
150,23120,8195,曹窑村委,文化大院,12,套,文化大院
151,23146,8195,曹窑村委,自动麻将桌,12,台,村委
152,28884,8195,曹窑村委,健身器材,12,套,文化大院
153,31334,8195,曹窑村委,体育器械,17,套,文化大院
154,14983,8209,三化沟村委,村委房屋,7,间,村委
155,14900,8209,三化沟村委,电脑,10,台,村委
156,16152,8209,三化沟村委,电暖器,10,台,村委
157,22933,8209,三化沟村委,电风扇,10,套,村委　
158,16511,8209,三化沟村委,电脑,10,台,村委
159,15129,8209,三化沟村委,电视机,10,台,村委
160,22945,8209,三化沟村委,饮水机,10,个,村委　
161,15554,8209,三化沟村委,档案柜,11,个,村委
162,15151,8209,三化沟村委,办公椅,11,张,村委
163,24686,8209,三化沟村委,沙发,11,套,村委
164,16153,8209,三化沟村委,书案,11,个,村委
165,16149,8209,三化沟村委,连椅,11,把,村委
166,15939,8209,三化沟村委,床头柜,11,个,村委
167,22944,8209,三化沟村委,电视柜,11,个,村委　
168,22888,8209,三化沟村委,老板椅,11,把,村委
169,16371,8209,三化沟村委,床,11,床,村委
170,16370,8209,三化沟村委,条桌子,11,张,村委
171,15128,8209,三化沟村委,书柜,11,个,村委
172,15127,8209,三化沟村委,方凳子,11,个,村委
173,24887,8209,三化沟村委,投影机,12,台,村委
174,15342,8209,三化沟村委,麻将桌子、椅子,12,套,村委
175,15343,8209,三化沟村委,DVD、喇叭、扩音器,12,套,村委
176,15153,8209,三化沟村委,乒乓球案,12,付,村委
177,15130,8209,三化沟村委,远程教育,12,台,村委
178,22911,8209,三化沟村委,篮球架,12,套,文化大院
179,22882,8209,三化沟村委,文化大院,12,套,文化大院
180,15943,8209,三化沟村委,健身器,12,个,村委
181,15436,8209,三化沟村委,麻将牌、象棋,12,付,村委
182,15154,8209,三化沟村委,泵房、水泵、蓄水池,13,套,村
183,22943,8209,三化沟村委,报警器,17,个,村委
184,22940,8209,三化沟村委,摄像头,17,个,村委
185,22946,8209,三化沟村委,村水泥路,18,平方米,村内
186,24659,8220,桑树坪村委,瓦房,7,平米,村委
187,24657,8220,桑树坪村委,教学楼,8,间,村委
188,24652,8220,桑树坪村委,电脑,10,套,村委
189,24660,8220,桑树坪村委,卫星接收器,10,套,村委
190,24649,8220,桑树坪村委,电视机,10,套,村委
191,24646,8220,桑树坪村委,床,11,套,村委
192,24638,8220,桑树坪村委,沙发,11,套,村委
193,32564,8220,桑树坪村委,学生用桌凳,11,套,学校
194,24633,8220,桑树坪村委,办公桌,11,套,村委
195,24642,8220,桑树坪村委,课桌,11,套,村委
196,24661,8220,桑树坪村委,篮球架,12,套,村委
197,24664,8220,桑树坪村委,乒乓球案,12,套,村委
198,31335,8220,桑树坪村委,体育器械,17,套,文化大院
199,24663,8220,桑树坪村委,监控器,17,个,村委
200,24662,8220,桑树坪村委,道路,18,公里,桑树坪村
201,29887,8220,桑树坪村委,12年度一事一议道路,543,千米,村内
202,24582,8232,高桥村委,办公楼,7,栋,高桥新村
203,28885,8232,高桥村委,打印机,10,个,大队部
204,24596,8232,高桥村委,电脑,10,台,村委
205,31610,8232,高桥村委,格力空调,10,台,村室
206,24592,8232,高桥村委,电视机,10,台,村委
207,24594,8232,高桥村委,凳子,11,套,村委
208,24589,8232,高桥村委,档案柜,11,套,村委
209,24588,8232,高桥村委,椅子,11,套,村委
210,24593,8232,高桥村委,连椅,11,把,村委
211,24599,8232,高桥村委,沙发,11,套,村委
212,24585,8232,高桥村委,办公桌,11,张,村委
213,24576,8232,高桥村委,桌子,11,张,村委
214,30067,8232,高桥村委,宣传栏,17,个,村部
215,31336,8232,高桥村委,体育器械,17,套,文化大院
216,30069,8232,高桥村委,监控系统,17,个,村内
217,24598,8232,高桥村委,道路及排水工程,18,米,新村
218,30070,8232,高桥村委,12年一事一议工程　,541,千米,村内
219,30066,8232,高桥村委,垃圾桶,541,千米,村内
220,24550,8241,杨家新村村委,村委办公室,7,所,村委
221,24619,8241,杨家新村村委,学校,8,所,杨家、关家
222,24548,8241,杨家新村村委,牛场,9,平米,杨家村南
223,24532,8241,杨家新村村委,办公家具,11,套,村委　
224,24529,8241,杨家新村村委,健身器材,12,套,村委、文化大院
225,24552,8241,杨家新村村委,农家书屋,12,套,杨家
226,24551,8241,杨家新村村委,文化大院,12,所,关家
227,24554,8241,杨家新村村委,远程教育,12,套,村委
228,24549,8241,杨家新村村委,机井,13,套,杨家、青山、关家
229,24525,8241,杨家新村村委,保洁设施,17,个,杨家、青山
230,24526,8241,杨家新村村委,排水工程,18,米,杨家新村
231,28886,8245,利津村村委,垃圾池,4,个,村内　
232,24498,8245,利津村村委,办公楼,7,间,村委
233,24501,8245,利津村村委,教学楼,8,间,村委
234,24508,8245,利津村村委,电脑,10,套,村委
235,24507,8245,利津村村委,电视机,10,套,学校
236,32765,8245,利津村村委,春兰35空调,10,套,学校
237,32766,8245,利津村村委,TCL电视32#,10,套,学校
238,32764,8245,利津村村委,春兰72空调,10,台,学校
239,24503,8245,利津村村委,办公家具,11,套,村委
240,24509,8245,利津村村委,文化大院,12,座,仁村组西南
241,24510,8245,利津村村委,休闲广场,12,套,村西口
242,24511,8245,利津村村委,机井,13,套,仁村组西南、班村组西边
243,28887,8245,利津村村委,三轮车,15,台,村
244,31337,8245,利津村村委,体育器械,17,套,文化大院
245,24497,8245,利津村村委,护坡（一事一议）,18,立方米,利津村三口东西两侧
246,24514,8245,利津村村委,道路,18,平方米,村内、村外
247,22500,8316,后河村委,戏楼,1,栋,陈村乡后河村
248,22490,8316,后河村委,后河村委办公楼,7,栋,陈村乡后河村
249,22494,8316,后河村委,教学楼,8,栋,陈村乡后河村
250,22504,8316,后河村委,学校宿舍,8,间,陈村乡后河村
251,22502,8316,后河村委,村委办公楼伙房,9,间,陈村乡后河村
252,22497,8316,后河村委,幼儿园伙房,9,间,陈村乡后河村
253,22514,8316,后河村委,图书室,9,间,陈村乡后河村
254,23389,8316,后河村委,电脑、电视、桌、椅,10,套,陈村乡后河村
255,27019,8317,贯沟村委,村委房屋,7,间,贯沟村
256,27018,8317,贯沟村委,村委房屋（旧）,7,间,贯沟村
257,27022,8317,贯沟村委,音箱、碟机,10,套,贯沟村委
258,27021,8317,贯沟村委,电视机,10,台,贯沟村委
259,27020,8317,贯沟村委,办公桌椅,11,件,贯沟村委
260,27024,8317,贯沟村委,座钟,11,台,贯沟村委
261,27023,8317,贯沟村委,沙发,11,套,贯沟村委
262,27025,8317,贯沟村委,健身器材,12,件,贯沟村
263,23408,8318,石板沟村委,文化大院,7,间,陈村乡石板沟村
264,23407,8318,石板沟村委,教学楼,8,间,陈村乡石板沟村
265,22586,8318,石板沟村委,三间平房,9,间,陈村乡石板沟村
266,22577,8318,石板沟村委,办公桌,11,张,陈村乡石板沟村
267,22580,8318,石板沟村委,凳子,11,张,陈村乡石板沟村
268,22881,8319,范洼村委,文化大院,7,间,陈村乡范洼村
269,22884,8319,范洼村委,教学楼,8,间,陈村乡范洼村
270,22887,8319,范洼村委,电视机,10,台,陈村乡范洼村
271,22885,8319,范洼村委,桌、凳,11,套,陈村乡范洼村
272,23465,8319,范洼村委,图书,12,套,陈村乡范洼村
273,22889,8319,范洼村委,乒乓球案、篮球栏,12,套,陈村乡范洼村
274,27026,8320,口里村委,村委文化大院,7,平方米,口里村
275,22537,8321,五爱村委,原村部旧房,7,间,陈村乡五爱村
276,22533,8321,五爱村委,原教学楼,8,间,陈村乡五爱村
277,22555,8321,五爱村委,电脑,10,台,陈村乡五爱村
278,22559,8321,五爱村委,电视机顶盒,10,套,陈村乡五爱村
279,22553,8321,五爱村委,电视机,10,台,陈村乡五爱村
280,22551,8321,五爱村委,桌、椅、床、柜,11,件,
281,22544,8321,五爱村委,办公桌,11,个,陈村乡五爱村
282,22547,8321,五爱村委,办公椅,11,套,陈村乡五爱村
283,22543,8321,五爱村委,铁皮柜,11,个,陈村乡五爱村
284,22540,8321,五爱村委,体育设施,12,套,陈村乡五爱村
285,22520,8322,一心村委,村委办公楼,7,平米,陈村乡一心村
286,22523,8322,一心村委,文化大院,7,平米,陈村乡一心村
287,22517,8322,一心村委,教学楼,8,平米,陈村乡一心村
288,22526,8322,一心村委,办公桌椅,11,套,陈村乡一心村
289,22529,8322,一心村委,计生室旧桌椅,11,套,陈村乡一心村
290,22525,8322,一心村委,远程教育,12,套,陈村乡一心村
291,27028,8323,白浪村委,村委文化大院,7,间,白浪村
292,27027,8323,白浪村委,白浪学校,8,间,白浪村
293,27030,8323,白浪村委,卫生所,9,间,白浪村
294,27031,8323,白浪村委,电脑、复印机,10,套,白浪村
295,27029,8323,白浪村委,办公桌椅,11,套,白浪村委
296,27033,8323,白浪村委,文化广场,12,块,白浪村
297,27032,8323,白浪村委,机井,13,眼,白浪村
298,22450,8324,槐扒村委,槐扒村委,7,平米,陈村乡槐扒村
299,22442,8324,槐扒村委,槐扒学校,8,平米,陈村乡槐扒村
300,22456,8324,槐扒村委,电视机、电脑,10,台,陈村乡槐扒村
301,22475,8324,槐扒村委,电暖器,10,套,陈村乡槐扒村
302,22487,8324,槐扒村委,vcd,10,台,陈村乡槐扒村
303,22480,8324,槐扒村委,广播,11,台,陈村乡槐扒村
304,22464,8324,槐扒村委,办公椅,11,张,陈村乡槐扒村
305,22483,8324,槐扒村委,档案柜,11,个,陈村乡槐扒村
306,22477,8324,槐扒村委,沙发床,11,张,陈村乡槐扒村
307,22472,8324,槐扒村委,课桌,11,张,陈村乡槐扒村
308,22460,8324,槐扒村委,办公桌,11,张,陈村乡槐扒村
309,23518,8325,黄花村委,文化大院,7,所,陈村乡黄花村
310,23164,8325,黄花村委,办公楼,7,栋,陈村乡黄花村
311,27034,8325,黄花村委,蓝天幼儿园,8,间,黄花村
312,23226,8325,黄花村委,黄花村小学,8,间,陈村乡黄花村
313,23224,8325,黄花村委,门面房,9,间,
314,23235,8325,黄花村委,饮水机、空调、,10,套,陈村乡黄花村
315,23227,8325,黄花村委,公示栏,10,个,陈村乡黄花村
316,23236,8325,黄花村委,电脑、电视,10,台,陈村乡黄花村
317,23231,8325,黄花村委,办公桌,11,套,陈村乡黄花村
318,23524,8325,黄花村委,桌、椅,11,套,陈村乡黄花村
319,23228,8325,黄花村委,资料柜,11,个,陈村乡黄花村
320,23229,8325,黄花村委,沙发,11,套,陈村乡黄花村
321,23230,8325,黄花村委,办公椅,11,把,陈村乡黄花村
322,23234,8325,黄花村委,复印机、保险柜、会议桌,11,套,陈村乡黄花村
323,23233,8325,黄花村委,连椅、书柜,11,套,陈村乡黄花村
324,23522,8325,黄花村委,健身器材,12,套,陈村乡黄花村
325,22593,8326,鱼池村委,支部、村委、文化大院,7,间,陈村乡鱼池村
326,22628,8326,鱼池村委,学生宿舍,8,间,陈村乡鱼池村
327,22631,8326,鱼池村委,教师用办公楼,8,间,陈村乡鱼池村
328,22626,8326,鱼池村委,维族学校,8,间,陈村乡鱼池村
329,22632,8326,鱼池村委,学生食堂,8,间,陈村乡鱼池村
330,22623,8326,鱼池村委,档案柜,11,个,陈村乡鱼池村
331,22620,8326,鱼池村委,办公桌,11,套,陈村乡鱼池村
332,22612,8326,鱼池村委,图书柜,11,个,陈村乡鱼池村
333,22605,8326,鱼池村委,凳子,11,个,陈村乡鱼池村
334,22596,8326,鱼池村委,办公桌,11,张,陈村乡鱼池村
335,22601,8326,鱼池村委,课桌,11,张,陈村乡鱼池村
336,22625,8326,鱼池村委,椅子,11,套,陈村乡鱼池村
337,22608,8326,鱼池村委,远程教育设施,12,套,陈村乡鱼池村
338,28626,8327,苜蓿村委,新建村委房屋,7,间,陈村乡苜蓿村
339,28627,8327,苜蓿村委,电脑、电视、音响,10,台,陈村乡苜蓿村委办公室
340,28625,8327,苜蓿村委,桌、椅、床、柜,11,批,陈村乡苜蓿村委办公室
341,28624,8327,苜蓿村委,苜蓿新老学校,12,间,陈村乡苜蓿村
342,28628,8327,苜蓿村委,主席像一尊,18,尊,陈村乡苜蓿村
343,28629,8328,滹沱村委,文化大院房屋,7,平米,陈村乡泘沱村
344,28630,8328,滹沱村委,泘沱小学,8,间,陈村乡泘沱村
345,28632,8328,滹沱村委,电脑、电视,10,台,陈村乡泘沱村委办公室
346,28631,8328,滹沱村委,办公家具,11,套,陈村乡泘沱村委办公室
347,28633,8328,滹沱村委,自来水井,18,眼,陈村乡泘沱村
348,22866,8329,万寿村委,文化大院,7,间,陈村乡万寿村
349,22868,8329,万寿村委,万寿学校,8,间,陈村乡万寿村
350,22876,8329,万寿村委,电视机、投影机,10,套,
351,22871,8329,万寿村委,办公桌、凳、书柜,11,张,陈村乡万寿村
352,22879,8329,万寿村委,乒乓球案、篮球蓝,12,个,陈村乡万寿村
353,22873,8329,万寿村委,图书,12,册,陈村乡万寿村
